ID	Pontos	Lat	Long
0	Escola3	-10.3328832	-48.2981222
1	Ponto6	-10.341279	-48.2962863
2	Ponto11	-10.347388	-48.2908727
3	Ponto12	-10.3533406	-48.2923532
4	Ponto7	-10.3614183	-48.3029917
5	Ponto8	-10.352462	-48.3057383
6	Ponto14	-10.360037	-48.3079338
7	Ponto9	-10.3532926	-48.3008984
8	Ponto10	-10.3489923	-48.2978834
9	Ponto13	-10.3486301	-48.2979548
10	Ponto15	-10.3485963	-48.2943296
11	Ponto1	-10.3417335	-48.2923717
12	Ponto2	-10.3379541	-48.2922818
13	Ponto3	-10.3334353	-48.2931997
14	Ponto5	-10.3338151	-48.2985348
15	Ponto4	-10.3298283	-48.2981612
16	Escola3	-10.3334353	-48.2931997
