ID	Pontos	Lat	Long
0	Escola2	-10.3451698	-48.2820468
1	Ponto11	-10.3338395	-48.2930095
2	Ponto12	-10.3343136	-48.2946356
3	Ponto13	-10.3352001	-48.294421
4	Ponto14	-10.3334595	-48.2989982
5	Ponto15	-10.3383665	-48.2997854
6	Ponto16	-10.3341456	-48.298392
7	Ponto17	-10.3376066	-48.2956656
8	Ponto18	-10.3408633	-48.2961718
9	Ponto19	-10.3445574	-48.2936827
10	Ponto20	-10.3458622	-48.2936599
11	Ponto21	-10.3493491	-48.294305
12	Ponto8	-10.3544013	-48.3017382
13	Ponto9	-10.3617234	-48.3026239
14	Ponto1	-10.3713336	-48.3041788
15	Ponto2	-10.3796449	-48.3049155
16	Ponto3	-10.4249609	-48.2486098
17	Ponto4	-10.4190475	-48.2652319
18	Ponto5	-10.4210735	-48.2824839
19	Ponto6	-10.4221708	-48.2971609
20	Ponto7	-10.4130387	-48.3113534
21	Ponto10	-10.3500059	-48.290081
