ID	Pontos	Lat	Long
0	Escola7	-10.2185887	-48.342194
1	Ponto8	-10.2241221	-48.3281954
2	Ponto10	-10.2301193	-48.3151491
3	Ponto14	-10.2743854	-48.275231
4	Ponto15	-10.2632372	-48.2748018
5	Ponto13	-10.2542846	-48.2831274
6	Ponto2	-10.2421262	-48.220755
7	Ponto3	-10.2384098	-48.2241882
8	Ponto1	-10.2406319	-48.2442196
9	Ponto7	-10.2477339	-48.2498216
10	Ponto6	-10.2511083	-48.2575153
11	Ponto12	-10.2459422	-48.2708784
12	Ponto4	-10.2390222	-48.2819856
13	Ponto11	-10.2383124	-48.3009012
14	Ponto5	-10.2299949	-48.3101422
15	Ponto9	-10.2210813	-48.3372934
